Текст,Статус
Очень понравилось сотрудничество!,Приемлемый контент
Ты полный идиот.,Неприемлемый контент
Качество работы на высшем уровне!,Приемлемый контент
Это чистый развод!,Неприемлемый контент
Надеюсь на долгое сотрудничество.,Приемлемый контент
Ты меня разочаровал.,Неприемлемый контент
Заказ выполнен в срок.,Приемлемый контент
Ты кидала!,Неприемлемый контент
Благодарю за профессионализм!,Приемлемый контент
Ты вообще читал ТЗ?,Неприемлемый контент
Могу порекомендовать этого исполнителя.,Приемлемый контент
Откровенное говно!,Неприемлемый контент
Обращусь к вам ещё.,Приемлемый контент
Такое надо искать с лупой.,Неприемлемый контент
Молодец отличная работа!,Приемлемый контент
Это вообще законно продавать?,Неприемлемый контент
У вас талант!,Приемлемый контент
Советую всем обходить стороной.,Неприемлемый контент
Быстро и без нареканий.,Приемлемый контент
Ты что вор?,Неприемлемый контент
Замечательный опыт сотрудничества.,Приемлемый контент
Ты мошенник!,Неприемлемый контент
Самое то для студентов.,Приемлемый контент
Почему я на тебя потратил время?,Неприемлемый контент
Спасибо выручили!,Приемлемый контент
Это позор!,Неприемлемый контент
Очень полезный сервис.,Приемлемый контент
Какой ты бесполезный!,Неприемлемый контент
Проект выполнен без нареканий.,Приемлемый контент
Деньги на ветер.,Неприемлемый контент
Заказал дипломную жду результат.,Приемлемый контент
Ты что мошенник? Зачем взял предоплату и исчез?,Неприемлемый контент
Наконец-то качественные рефераты!,Приемлемый контент
Это вообще кто писал? Среднеклассник?,Неприемлемый контент
Здесь очень профессиональные авторы.,Приемлемый контент
Ты вообще понял тему курсовой?,Неприемлемый контент
Очень удобно что все в одном профиле.,Приемлемый контент
Какой-то недобросовестный исполнитель!,Неприемлемый контент
Спасибо за ваш сервис!,Приемлемый контент
Меня обманули на этом сайте.,Неприемлемый контент
Нужен автор для написания эссе по истории.,Приемлемый контент
Ты думаешь я не понимаю что это плагиат?,Неприемлемый контент
Отлично что есть такой портал для студентов.,Приемлемый контент
За такое качество и такие деньги?,Неприемлемый контент
У кого заказать контрольную по математике?,Приемлемый контент
Этот автор вообще ничего не знает!,Неприемлемый контент
Благодарю автора за быструю работу.,Приемлемый контент
Ты думаешь я буду платить за этот бред?,Неприемлемый контент
Спасибо за качественный контроль!,Приемлемый контент
Где моя работа? Сроки уже прошли!,Неприемлемый контент
Советую всем данный портал. Экономия времени.,Приемлемый контент
Автор пропал на пару дней перед сдачей!,Неприемлемый контент
Здесь можно найти лучших специалистов.,Приемлемый контент
Зачем я тратил время на этот портал?,Неприемлемый контент
Очень доволен результатом. Спасибо!,Приемлемый контент
Мне продали работу другого студента.,Неприемлемый контент
Нужен кто-то для написания реферата.,Приемлемый контент
Ты сам веришь в то что написал?,Неприемлемый контент
Здесь лучшие авторы. Доверяйте .,Приемлемый контент
Почему эта платформа не блокирует мошенников?,Неприемлемый контент
Сделали всё в срок рад сотрудничеству.,Приемлемый контент
Ты чё прикалываешься? Это что за дерьмо?,Неприемлемый контент
Прекрасный автор рекомендую.,Приемлемый контент
Ты вообще откуда такие цены взял? Ограбление!,Неприемлемый контент
Работа выполнена на уровне!,Приемлемый контент
Ты блин серьезно? Что это за хрень?,Неприемлемый контент
Всегда рад сотрудничеству с этим автором.,Приемлемый контент
Отвратительный сервис и исполнитель!,Неприемлемый контент
Удивлен качеством и оперативностью.,Приемлемый контент
Ты меня обманул гадина!,Неприемлемый контент
Спасибо вы мне очень помогли.,Приемлемый контент
Это полный пиздец как так можно работать?,Неприемлемый контент
Заказал еще одну работу жду с нетерпением.,Приемлемый контент
Этот автор — полный лох не верьте ему!,Неприемлемый контент
Удивлен отзывчивостью службы поддержки.,Приемлемый контент
Ты мне должен где моя работа?,Неприемлемый контент
Порекомендую вас своим друзьям.,Приемлемый контент
Ты что не можешь нормально ответить? Сука!,Неприемлемый контент
Все четко и профессионально благодарю.,Приемлемый контент
Такую халтуру еще поискать надо!,Неприемлемый контент
Заказ выполнен на все 100%.,Приемлемый контент
Ты меня развел как лоха! Где мои деньги?,Неприемлемый контент
Обязательно вернусь к вам за помощью.,Приемлемый контент
Этот сайт — полное говно!,Неприемлемый контент
Работа выполнена согласно ТЗ спасибо.,Приемлемый контент
Какого черта? Это вообще не то что я просил!,Неприемлемый контент
Всегда на связи оперативное решение вопросов.,Приемлемый контент
Ты что думаешь я дебил? Что за работа?,Неприемлемый контент
Очень помогли перед экзаменами спасибо.,Приемлемый контент
Такой треш и угар я еще не видел.,Неприемлемый контент

